Place_Id,Location_Name,Address,Latitude,Longitude,OCM_Connector_Types,OCM_Power_kW,Business_Status,Phone_Number,Number_of_Connectors,Max_Charging_Type,Min_Power_kW,Max_Power_kW,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
ChIJiSzVaZcPdkgRe0DwUk2uwwg,ESB Energy Charging Station,"Hammersmith, London SW6 7LH, UK",51.4841607,-0.2068634,CHAdeMO; Type 2 (Tethered Connector) ; Type 2 (Tethered Connector) ,50.0 kW; 50.0 kW; 43.0 kW,OPERATIONAL,0800 030 4893,3,Rapid,43.0,50.0,Yes,No,No
ChIJ6-ioCGUPdkgR78AO6Xf87kE,ESB Energy Charging Station,"Hammersmith, London SW6 7LH, UK",51.4841607,-0.2068634,CHAdeMO; Type 2 (Tethered Connector) ; Type 2 (Tethered Connector) ,50.0 kW; 50.0 kW; 43.0 kW,OPERATIONAL,0800 030 4893,3,Rapid,43.0,50.0,Yes,No,No
ChIJA6KsnIYPdkgRY1NLFopEIm8,Source London Charging Station,"Opposite, 7 Waterford Rd, London SW6 2DL, UK",51.4799966,-0.1933135,Type 1 (J1772); Type 2 (Socket Only),3.0 kW; 7.0 kW,OPERATIONAL,0808 178 5035,2,Fast,3.0,7.0,No,Yes,Yes
ChIJK4_4GYUPdkgREZhsw97M7e8,TotalEnergies Charging Station,"Farm Ln, London SW6 1PS, UK",51.481356,-0.1977358,Type 1 (J1772); Type 2 (Socket Only),4.0 kW; 7.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJwVG3hZwPdkgRcB0LhrdyGVM,Source London Charging Station,"100 Kelvedon Road (Site 2, London SW6 5BS, UK",51.477571700000013,-0.2020702,Type 1 (J1772); Type 2 (Socket Only),3.0 kW; 7.0 kW,OPERATIONAL,0808 178 5035,2,Fast,3.0,7.0,No,Yes,Yes
ChIJl1zIQ48PdkgRGwej9SZgcmk,Source London Charging Station,"35 Seagrave Rd, London SW6 1SR, UK",51.4842162,-0.1949657,Type 1 (J1772); Type 2 (Socket Only),3.0 kW; 7.0 kW,OPERATIONAL,0808 178 5035,2,Fast,3.0,7.0,No,Yes,Yes
ChIJW0wF4Z0PdkgRBDB2CTnFZj0,Believ Charging Station,"Dance Road Junc, Hammersmith and Fulham, Lettice Road, London SW6 4EH, UK",51.473902,-0.2051832,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 051 5335,1,Slow,3.7,3.7,No,No,Yes
ChIJwbA4z54PdkgR7YPurTWq0Js,Shell Recharge Charging Station,"70 Chesilton Rd, London SW6 5AB, UK",51.4774656,-0.2073515,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 026 6440,1,Slow,3.7,3.7,No,No,Yes
ChIJnSTJa6IPdkgRxnRtw0dtdpY,Shell Recharge Charging Station,"10 Allestree Rd, London SW6 6AE, UK",51.47936,-0.213374,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJqTI3ypAPdkgRDai--KAP31w,Shell Recharge Charging Station,"Mulgrave Road Opp, Sir John Lillie Play Centre, London W14 9PB, UK",51.4847415,-0.205193,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ2QbHF5wPdkgRXU83dc6SM7g,Shell Recharge Charging Station,"3 Lilyville Rd, London SW6 5DP, UK",51.476803999999987,-0.204572,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ25bb85cPdkgRbnGuvdXZORg,Shell Recharge Charging Station,"1 Brecon Rd, London W6 8QA, UK",51.4837324,-0.2102398,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJSYwFRL0PdkgRtszHghA2B0k,Shell Recharge Charging Station,"36 Humbolt Rd, London W6 8QJ, UK",51.484243,-0.212432,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJv2VcW50PdkgRhYnXi75iCMY,Shell Recharge Charging Station,"18 Parsons Grn, London SW6 4UH, UK",51.473382,-0.2006157,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJiYj0tYMPdkgR3f96NdmQcW8,Shell Recharge Charging Station,"1A Favart Rd, London SW6 4BA, UK",51.475685,-0.195159,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ38Top4MPdkgRwaMR_-9c1sQ,Shell Recharge Charging Station,"50 Favart Rd, London SW6 4BF, UK",51.476119800000014,-0.19656,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 026 6440,1,Slow,3.7,3.7,No,No,Yes
ChIJZVOO0pAPdkgRip0IbE7eX8I,Shell Recharge Charging Station,"Mulgrave Rd, London W14 9PB, UK",51.4853193,-0.2053483,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 026 6440,1,Slow,3.7,3.7,No,No,Yes
ChIJ46zCUb0PdkgRztdnQwLfW80,Shell Recharge Charging Station,"19 Humbolt Rd, London W6 8QH, UK",51.4837006,-0.2120461,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJw6jo54IPdkgR7sxTihkh9b4,Shell Recharge Charging Station,"13 Irene Rd, London SW6 4AL, UK",51.474813999999988,-0.197996,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJh6wEU70PdkgRUeMC3v0-cKQ,Shell Recharge Charging Station,"5-7 Humbolt Rd, London W6 8QH, UK",51.483408999999988,-0.211892,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJw3v34pcPdkgRY8p8L3_rots,Shell Recharge Charging Station,"17 Disbrowe Rd, London W6 8QG, UK",51.4841087,-0.2112459,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJHWCf848PdkgR4QxY1WGZ9k4,Shell Recharge Charging Station,"122 Halford Rd, London SW6 1JX, UK",51.483719699999988,-0.1983313,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJhbUm4p0PdkgRklV8M1MmrzM,Shell Recharge Charging Station,"1 Lettice St, London SW6 4EH, UK",51.4737615,-0.2053215,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ46AfvJwPdkgRzZGwLymZ_-I,Shell Recharge Charging Station,"6 Elmstone Rd, London SW6 5TN, UK",51.4770639,-0.2007345,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJfyhX6JcPdkgREAvZ4FCS9UI,Shell Recharge Charging Station,"75 Musard Rd, London W6 8NR, UK",51.4844555,-0.2104895,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJeRmfU5kPdkgRfwtOaS0coz8,Shell Recharge Charging Station,"47 Lilyville Rd, London SW6 5DP, UK",51.478221,-0.205894,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJX60n15sPdkgRZRau676FQdk,Shell Recharge Charging Station,"12 Homestead Rd, London SW6 7BL, UK",51.47996,-0.205037,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJSff1CXgPdkgRO50zdazQHzc,Shell Recharge Charging Station,"6 Coniger Rd, London SW6 3TA, UK",51.472742200000013,-0.1984069,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJrUZnl4APdkgRyDDlFoptU7o,Shell Recharge Charging Station,"27 Imperial Square, London SW6 2AE, UK",51.476516,-0.188551,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJVYQn85cPdkgRU8Oop6wFFkA,Shell Recharge Charging Station,"16 Moylan Rd, London W6 8QB, UK",51.483781,-0.2099497,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJHfINOZwPdkgRsdAhylCEbWo,Shell Recharge Charging Station,"1 St Maur Rd, London SW6 4DR, UK",51.476278,-0.204216,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJE59NAJcPdkgRLKAU3UK_vBI,Shell Recharge Charging Station,"Zenobia Mansions, Queen's Club Gardens, London W14 9TD, UK",51.4858,-0.20827,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJd_piFZAPdkgR0FCJCLWhUY0,Shell Recharge Charging Station,"9 Sedlescombe Rd, London SW6 1RD, UK",51.48461,-0.20095,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJU8TYuKEPdkgRuvnRtohwKS4,Shell Recharge Charging Station,"72 Sidbury St, London SW6 6SB, UK",51.47633,-0.212959,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJnWQmlYAPdkgRmsufs56PHtw,Shell Recharge Charging Station,"16 Imperial Square, London SW6 2AE, UK",51.476572999999988,-0.18965,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJY2jp34IPdkgR-AxTijc6YhU,Shell Recharge Charging Station,"5 Basuto Rd, London SW6 4BJ, UK",51.4753543,-0.1981368,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ5QXW-Y8PdkgRlQDO3DuupNE,Shell Recharge Charging Station,"42 Halford Rd, London SW6 1LH, UK",51.4834987,-0.1987643,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 026 6440,1,Slow,3.7,3.7,No,No,Yes
ChIJU4pC3Z0PdkgR30vq9KeHn3I,Shell Recharge Charging Station,"7 Lettice St, London SW6 4EH, UK",51.474155,-0.204765,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJpZxIpXgPdkgR3pDrMiBXVAk,Shell Recharge Charging Station,"63 Studdridge St, London SW6 3SL, UK",51.4722004,-0.1944653,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJvT7CYIcPdkgRO91Sz2GCcj4,Shell Recharge Charging Station,"18 Holmead Rd, London SW6 2JE, UK",51.479492,-0.188091,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJQc53pYIPdkgRrvPWYRlX6AA,Shell Recharge Charging Station,"31 Parsons Grn, London SW6 4UJ, UK",51.473297,-0.198736,Type 2 (Socket Only),3.7 kW,OPERATIONAL,0800 024 6279,1,Slow,3.7,3.7,No,No,Yes
ChIJ0QwxNIcPdkgR0RcVX70ZrwM,Believ Charging Station,"Maxwell Road, Hammersmith and Fulham, London SW6 2HR, UK",51.4783303,-0.1894684,Type 2 (Socket Only),4.8 kW,OPERATIONAL,0800 051 5335,1,Slow,4.8,4.8,No,No,Yes
ChIJbbe464IPdkgR667r6GSORgM,Believ Charging Station,"Irene Rd, London SW6 5NX, UK",51.474458899999988,-0.197681,Type 2 (Socket Only),4.8 kW,OPERATIONAL,0800 051 5335,1,Slow,4.8,4.8,No,No,Yes
ChIJuaVrtzYFdkgRN4gf1my7-SU,Electric Vehicle Charging Station,"21 Cambria St, London SW6 2EE, UK",51.4782848,-0.187187,Type 2 (Socket Only),4.8 kW,OPERATIONAL,,1,Slow,4.8,4.8,No,No,Yes
ChIJkQgZFI8PdkgRplPUX9tymPI,has.to.be Charging Station,"Fulham Ambulance, Seagrave Rd, London SW6 1RX, UK",51.484897,-0.1955673,Type 2 (Socket Only),4.8 kW,OPERATIONAL,0800 954 0091,1,Slow,4.8,4.8,No,No,Yes
ChIJg4MBWpgPdkgRDled6mn4qIM,Shell Recharge Charging Station,"Varna Rd, London SW6 7LA, UK",51.481001,-0.209162,Type 2 (Socket Only),4.8 kW,OPERATIONAL,0800 024 6279,1,Slow,4.8,4.8,No,No,Yes
ChIJW8bz0IYPdkgRu2GfGjUde0A,Shell Recharge Charging Station,"27 Britannia Rd, London SW6 2HJ, UK",51.478625,-0.191263,Type 2 (Socket Only),4.8 kW,OPERATIONAL,0800 024 6279,1,Slow,4.8,4.8,No,No,Yes
ChIJhwvqNYIPdkgRdnrTEw2vx8U,Source London Charging Station,"9 Crondace Rd, London SW6 4BA, UK",51.475172,-0.195039,Type 2 (Socket Only),22.0 kW,OPERATIONAL,0808 178 5035,1,Fast,22.0,22.0,No,Yes,No
ChIJRfERLoQPdkgRQ8LAuos4Tjc,Community by Shell Recharge Charging Station,"Fulham Rd., London SW6 1BW, UK",51.480315999999988,-0.194363,Type 2 (Socket Only),22.0 kW,OPERATIONAL,020 3868 1036,1,Fast,22.0,22.0,No,Yes,No
ChIJ88nYy4APdkgRxXyQkAfoaAs,Source London Charging Station,"90 Edith Row, London SW6 2ER, UK",51.4777979,-0.1893743,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJ3SbUqZEPdkgR9DW-0G-ojcA,Source London Charging Station,"Hammersmith and Fulham, Thaxton Rd, London W14 9UX, UK",51.4863934,-0.2025434,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJ-5xgjpsPdkgR3GilcJ_KMCY,Source London Charging Station,"14 Kelvedon Rd, London SW6 5BW, UK",51.478854899999988,-0.2035757,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJdZtrq5gPdkgRqhnlOI-5loo,Source London Charging Station,"3 Danehurst St, London SW6 6BZ, UK",51.4781591,-0.2109267,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJ-3CeL3YPdkgR9EnH65QQ_8c,Source London Charging Station,"1, Eddiscombe Rd, London SW6 4TZ, UK",51.472378799999987,-0.2031979,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJQ8YI5ZkPdkgRAmzdMXDP1vM,Source London Charging Station,"36 Rylston Rd, London SW6 7HE, UK",51.482731,-0.2062008,Type 2 (Socket Only); Type 1 (J1772),7.0 kW; 4.0 kW,OPERATIONAL,0808 178 5035,2,Fast,4.0,7.0,No,Yes,Yes
ChIJnSHvm48PdkgRFeoRGrqh4o4,Believ Charging Station,"Halford Rd, London SW6 1JY, UK",51.4842463,-0.1970951,Type 2 (Socket Only); Type 2 (Socket Only),22.0 kW; 22.0 kW,OPERATIONAL,0800 051 5335,2,Fast,22.0,22.0,No,Yes,No
ChIJHT0GHYEPdkgRb61MdAH-1GU,Believ Charging Station,"Harwood Terrace, London SW6 4, UK",51.4762481,-0.1908753,Type 2 (Socket Only); Type 2 (Socket Only),22.0 kW; 22.0 kW,OPERATIONAL,0800 051 5335,2,Fast,22.0,22.0,No,Yes,No
ChIJ67sqp4YPdkgRei4AkxcP19Q,Believ Charging Station,"Cedarne Rd, London SW6 2DQ, UK",51.4790114,-0.1935326,Type 2 (Socket Only); Type 2 (Socket Only),22.0 kW; 22.0 kW,OPERATIONAL,0800 051 5335,2,Fast,22.0,22.0,No,Yes,No
ChIJXTObnZgPdkgR6NJa4IKApoA,Believ Charging Station,"137 Sherbrooke Rd, London SW6 7QL, UK",51.4796652,-0.2115082,Type 2 (Socket Only); Type 2 (Socket Only),22.0 kW; 22.0 kW,OPERATIONAL,0800 051 5335,2,Fast,22.0,22.0,No,Yes,No
ChIJsxUGBIEPdkgR-jhFAR2j4gc,Believ Charging Station,"Bagley's Lane Junc Cresford Road, Hammersmith and Fulham, London SW6 2AH, UK",51.4758485,-0.1910405,Type 2 (Socket Only); Type 2 (Socket Only),22.0 kW; 22.0 kW,OPERATIONAL,0800 051 5335,2,Fast,22.0,22.0,No,Yes,No